,stcode,설립유형,총_대기율,staff_score,capacity_score,safety_score,service_score,affordability_score,final_score,기관명,주소_정제,위도,경도
1726,11410000330,국공립,58,0.38625,0.123,0.357,0.1774166666666666,0.159,0.2405333333333333,산마루어린이집,서울특별시 서대문구 북아현로 120,37.565722,126.9511433
1727,11410000331,국공립,119,0.374,0.1593333333333333,0.7,0.073,1.0,0.4612666666666666,새솔어린이집,서울특별시 서대문구 통일로34길 19 새솔어린이집,37.5858049,126.9489716
1728,11410000333,국공립,312,0.34275,0.1316666666666666,0.5345,0.049,0.389,0.2893833333333333,가람어린이집,"서울특별시 서대문구 가재울미래로 2 dmc 파크뷰자이 1단지 내, 관리사무소 빌딩 1층",37.57400810000001,126.9150231
1729,11410000334,국공립,226,0.23425,0.0743333333333333,0.503,0.10625,0.332,0.2499666666666666,아람어린이집,"서울특별시 서대문구 가재울미래로 2 가재울미래로 2, DMC파크뷰자이 2단지 내 커뮤니티 센터 1층",37.57400810000001,126.9150231
1730,11410000336,가정,78,0.3545,0.0726666666666666,0.5745,0.2715,0.258,0.3062333333333333,예뜰어린이집,서울특별시 서대문구 거북골로23길 15,37.57896536024101,126.9067656511974
1731,11410000338,가정,89,0.148,0.0403333333333333,0.432,0.0405,0.27,0.1861666666666666,아장아장어린이집,서울특별시 서대문구 가재울미래로 2 129동103호,37.57108028890078,126.918945288191
1732,11410000340,가정,95,0.35625,0.0403333333333333,0.432,0.04625,1.0,0.3749666666666666,나빛어린이집,서울특별시 서대문구 가재울미래로 2 217동101호,37.57436771645798,126.9178561184961
1733,11410000341,민간,93,0.28975,0.079,0.5974999999999999,0.04775,0.624,0.3276,아이뜰어린이집,서울특별시 서대문구 북아현로1길 50 103동 1층,37.5602049,126.9521071
1734,11410000342,국공립,100,0.1675,0.0686666666666666,0.5660000000000001,0.0,0.583,0.2770333333333333,돈의문어린이집,서울특별시 서대문구 독립문로14길 33 돈의문 센트레빌 아파트,37.5659879,126.9607159
1735,11410000343,국공립,110,0.3419999999999999,0.0559999999999999,0.503,0.18075,0.172,0.25075,행복열매어린이집,서울특별시 서대문구 증가로 191 101동 101호,37.5779334,126.9165623
1736,11410000347,국공립,88,0.3295,0.1506666666666666,0.6285000000000001,0.1103333333333333,0.547,0.3532,숲속어린이집,서울특별시 서대문구 통일로 348 청구아파트,37.581915,126.9520497
1737,11410000348,국공립,200,0.16125,0.121,0.6285000000000001,0.06925,0.427,0.2814,은빛어린이집,서울특별시 서대문구 북아현로1길 17 신촌e편한세상 202동 1층 은빛어린이집,37.5584231,126.9546193
1738,11410000349,국공립,112,0.4317499999999999,0.0743333333333333,0.5974999999999999,0.1684999999999999,0.346,0.3236166666666666,솔빛어린이집,서울특별시 서대문구 북아현로 29 e편한세상신촌3단지 302동,37.5596933,126.956089
1739,11410000350,국공립,127,0.23775,0.0686666666666666,0.5265,0.28425,0.118,0.2470333333333333,별빛어린이집,서울특별시 서대문구 신촌로35길 10,37.5582587,126.9558611
1740,11410000351,국공립,138,0.3135,0.0976666666666666,0.5660000000000001,0.04125,0.28,0.2596833333333334,푸른빛어린이집,서울특별시 서대문구 북아현로1가길 20 e편한세상신촌 102동,37.5579692,126.9505136
1741,11410000353,국공립,110,0.35775,0.0559999999999999,0.503,0.1745,0.238,0.26585,다솜어린이집,서울특별시 서대문구 문화촌길 6-24 102동 107호,37.5922763,126.9494933
1742,11410000354,국공립,52,0.48,0.104,0.6285000000000001,0.19825,0.178,0.31775,인왕어린이집,서울특별시 서대문구 문화촌길 34 홍제동,37.5936525,126.9491733
1743,11410000355,국공립,84,0.33075,0.0953333333333333,0.5345,0.03075,1.0,0.3982666666666666,산들어린이집,서울특별시 서대문구 통일로 510 106-101,37.5933823,126.9416172
1744,11410000356,국공립,110,0.30025,0.0593333333333333,0.432,0.125,0.102,0.2037166666666666,헤아림어린이집,서울특별시 서대문구 북아현로1길 50 2단지 202동 1층,37.5602049,126.9521071
1745,11410000357,국공립,406,0.3495,0.1183333333333333,0.5974999999999999,0.21275,0.604,0.3764166666666666,가재울어린이집,서울특별시 서대문구 모래내로15길 31,37.57304329999999,126.9199512
1746,11410000358,국공립,140,0.3065,0.098,0.5660000000000001,0.1278333333333333,0.186,0.2568666666666667,예솔어린이집,서울특별시 서대문구 증가로 150 DMC2차아이파크 아파트,37.5791313,126.9206681
1747,11410000360,국공립,157,0.275,0.0916666666666666,0.432,0.11225,0.191,0.2203833333333333,꼬마박사어린이집,서울특별시 서대문구 거북골로 120 203동 103호,37.5759735,126.9156593
1748,11410000361,국공립,5,0.25725,0.0736666666666666,0.503,0.05025,0.639,0.3046333333333333,우리들어린이집,서울특별시 서대문구 세검정로1길 95 벽산아파트 107동 106호,37.5953754,126.9448171
1749,11410000362,국공립,123,0.3075,0.0366666666666666,0.503,0.024,0.121,0.1984333333333333,햇살나무어린이집,서울특별시 서대문구 연희로 377 202동 104호,37.5901113,126.9377353
1750,11410000363,국공립,111,0.3107499999999999,0.0403333333333333,0.5345,0.0,0.076,0.1923166666666666,해피키즈어린이집,서울특별시 서대문구 문화촌길 6-24 101동 112호,37.5922763,126.9494933
1751,11410000364,국공립,120,0.221,0.0386666666666666,0.5345,0.30275,0.523,0.3239833333333333,키움어린이집,서울특별시 서대문구 홍제천로 136 103동 1층,37.5756851,126.928549
1752,11410000366,국공립,222,0.39325,0.142,0.5974999999999999,0.323,0.239,0.33895,늘품자연어린이집,서울특별시 서대문구 거북골로 84 DMC에코자이아파트 단지 내,37.576421,126.919616
1753,11410000368,국공립,257,0.3107499999999999,0.0563333333333333,0.503,0.0,0.0,0.1740166666666666,삼성영재어린이집,서울특별시 서대문구 증가로 191 DMC래미안클라시스 108동 104호,37.5790979,126.9168168
1754,11410000369,국공립,256,0.3585,0.0983333333333333,0.5660000000000001,0.0555,0.396,0.2948666666666667,서대문든든어린이집,서울특별시 서대문구 거북골로 100 래미안루센티아아파트,37.5762208,126.9176445
1755,11410000370,국공립,272,0.31525,0.0563333333333333,0.4635,0.0,0.623,0.2916166666666667,자람어린이집,서울특별시 서대문구 가재울미래로 2 DMC파크뷰자이 4단지 내 402동 1층,37.5716654,126.9149319
1756,11410000371,국공립,191,0.34875,0.0556666666666666,0.411,0.04475,0.207,0.2134333333333333,한별어린이집,서울특별시 서대문구 이화여대8길 123 힐스테이트신촌아파트 단지 내,37.5622268,126.951192
1757,11410000372,가정,105,0.312,0.0403333333333333,0.5345,0.03375,0.523,0.2887166666666666,한나어린이집,서울특별시 서대문구 가재울로 45 103동 105호,37.57567800414882,126.9208477913858
1758,11410000373,국공립,100,0.2875,0.046,0.411,0.0,0.095,0.1679,늘푸른어린이집,서울특별시 서대문구 홍은중앙로1길 100,37.599995,126.9443368
